"","Plants","DayAmdmt","Amdmt","ID","Day"
"S009","1","01","1","D","0"
"S204","1","21","1","D","2"
"S112","0","11","1","B","1"
"S247","0","22","2","F","2"
"S026","0","00","0","A","0"
"S023","1","00","0","C","0"
"S201","0","20","0","A","2"
"S133","1","10","0","C","1"
"S103","1","10","0","C","1"
"S012","0","01","1","B","0"
"S134","1","11","1","D","1"
"S108","1","10","0","C","1"
"S207","0","21","1","B","2"
"S123","1","10","0","C","1"
"S202","0","21","1","B","2"
"S031","0","00","0","A","0"
"S106","0","10","0","A","1"
"S233","1","20","0","C","2"
"S013","1","00","0","C","0"
"S007","0","01","1","B","0"
"S139","1","11","1","D","1"
"S126","0","10","0","A","1"
"S208","1","20","0","C","2"
"S122","0","11","1","B","1"
"S022","0","01","1","B","0"
"S223","1","20","0","C","2"
"S113","1","10","0","C","1"
"S024","1","01","1","D","0"
"S032","0","01","1","B","0"
"S218","1","20","0","C","2"
"S212","0","21","1","B","2"
"S138","1","10","0","C","1"
"S117","0","11","1","B","1"
"S228","1","20","0","C","2"
"S019","1","01","1","D","0"
"S104","1","11","1","D","1"
"S116","0","10","0","A","1"
"S213","1","20","0","C","2"
"S144","0","12","2","F","1"
"S221","0","20","0","A","2"
"S214","1","21","1","D","2"
"S043","0","02","2","F","0"
"S136","0","10","0","A","1"
"S028","1","00","0","C","0"
"S203","1","20","0","C","2"
"S001","0","00","0","A","0"
"S216","0","20","0","A","2"
"S109","1","11","1","D","1"
"S226","0","20","0","A","2"
"S037","0","01","1","B","0"
"S042","0","02","2","F","0"
"S206","0","20","0","A","2"
"S111","0","10","0","A","1"
"S101","0","10","0","A","1"
"S217","0","21","1","B","2"
"S148","0","12","2","F","1"
"S039","1","01","1","D","0"
"S118","1","10","0","C","1"
"S034","1","01","1","D","0"
"S006","0","00","0","A","0"
"S238","1","20","0","C","2"
"S229","1","21","1","D","2"
"S046","0","02","2","F","0"
"S033","1","00","0","C","0"
"S041","0","02","2","F","0"
"S132","0","11","1","B","1"
"S121","0","10","0","A","1"
"S209","1","21","1","D","2"
"S245","0","22","2","F","2"
"S243","0","22","2","F","2"
"S227","0","21","1","B","2"
"S107","0","11","1","B","1"
"S142","0","12","2","F","1"
"S237","0","21","1","B","2"
"S224","1","21","1","D","2"
"S003","1","00","0","C","0"
"S231","0","20","0","A","2"
"S127","0","11","1","B","1"
"S137","0","11","1","B","1"
"S036","0","00","0","A","0"
"S241","0","22","2","F","2"
"S038","1","00","0","C","0"
"S114","1","11","1","D","1"
"S147","0","12","2","F","1"
"S124","1","11","1","D","1"
"S017","0","01","1","B","0"
"S143","0","12","2","F","1"
"S021","0","00","0","A","0"
"S047","0","02","2","F","0"
"S011","0","00","0","A","0"
"S119","1","11","1","D","1"
"S219","1","21","1","D","2"
"S027","0","01","1","B","0"
"S232","0","21","1","B","2"
"S246","0","22","2","F","2"
"S131","0","10","0","A","1"
"S044","0","02","2","F","0"
"S129","1","11","1","D","1"
"S002","0","01","1","B","0"
"S102","0","11","1","B","1"
"S004","1","01","1","D","0"
"S234","1","21","1","D","2"
"S244","0","22","2","F","2"
"S248","0","22","2","F","2"
"S128","1","10","0","C","1"
"S016","0","00","0","A","0"
"S236","0","20","0","A","2"
"S029","1","01","1","D","0"
"S018","1","00","0","C","0"
"S141","0","12","2","F","1"
"S146","0","12","2","F","1"
"S048","0","02","2","F","0"
"S222","0","21","1","B","2"
"S045","0","02","2","F","0"
"S008","1","00","0","C","0"
"S239","1","21","1","D","2"
"S145","0","12","2","F","1"
"S242","0","22","2","F","2"
"S014","1","01","1","D","0"
